Legacy location code	Legacy Location Name	Folio location code	Folio label (optional)	Folio service point
Archives	Archives	Archives	Archives	RR01
BDSDS	Broadsides	BDSDS	Broadsides	RR01
DigiRes	Digital Resource	DigiRes	Digital Resource	RR01
GA	Graphic Arts	GA	Graphic Arts	RR01
MR	Microform Room	MR	Microform Room	RR01
MS	Manuscripts	MS	Manuscripts	RR01
Newspapers	Newspapers	News	Newspapers	RR01
NotAAS	Not at AAS	NotAAS	Not at AAS	RR01
Office	Office Copy	Office	Office Copy	RR01
PR	Periodicals	PR	Periodicals	RR01
Restrict	Restricted	Restrict	Restricted	RR01
RR	Reading Room	RR	Reading Room	RR01
Stacks	Stacks	Stacks	Stacks	RR01